# n one_over_n log2_n twelve_sqrt_n fifty_sqrt_n n_power_0_51 two_power_32_n n_log2_n n2_minus_324 hundred_n2_plus_6n two_n3 n_power_log2_n three_power_n
2.00 5.000000000000e-01 1.000000000000e+00 1.697056274848e+01 7.071067811865e+01 1.424050195597e+00 8.589934592000e+09 2.000000000000e+00 -3.200000000000e+02 4.120000000000e+02 1.600000000000e+01 2.000000000000e+00 9.000000000000e+00
2.10 4.761904761905e-01 1.070389327891e+00 1.738965209543e+01 7.245688373095e+01 1.459929352443e+00 9.019431321600e+09 2.247817588572e+00 -3.195900000000e+02 4.536000000000e+02 1.852200000000e+01 2.212585664929e+00 1.004510856631e+01
2.20 4.545454545455e-01 1.137503523750e+00 1.779887636903e+01 7.416198487096e+01 1.494980635305e+00 9.448928051200e+09 2.502507752250e+00 -3.191600000000e+02 4.972000000000e+02 2.129600000000e+01 2.451924007977e+00 1.121157845654e+01
2.30 4.347826086957e-01 1.201633861170e+00 1.819890106572e+01 7.582875444052e+01 1.529259532696e+00 9.878424780800e+09 2.763757880690e+00 -3.187100000000e+02 5.428000000000e+02 2.433400000000e+01 2.720598262023e+00 1.251350253284e+01
2.40 4.166666666667e-01 1.263034405834e+00 1.859032006180e+01 7.745966692415e+01 1.562815584088e+00 1.030792151040e+10 3.031282574001e+00 -3.182400000000e+02 5.904000000000e+02 2.764800000000e+01 3.021481084534e+00 1.396661016524e+01
2.50 4.000000000000e-01 1.321928094887e+00 1.897366596101e+01 7.905694150421e+01 1.595693237153e+00 1.073741824000e+10 3.304820237218e+00 -3.177500000000e+02 6.400000000000e+02 3.125000000000e+01 3.357747833387e+00 1.558845726812e+01
2.60 3.846153846154e-01 1.378511623254e+00 1.934941859592e+01 8.062257748299e+01 1.627932552354e+00 1.116691496960e+10 3.584130220460e+00 -3.172400000000e+02 6.916000000000e+02 3.515200000000e+01 3.732893361621e+00 1.739863840439e+01
2.70 3.703703703704e-01 1.432959407276e+00 1.971801207019e+01 8.215838362577e+01 1.659569786857e+00 1.159641169920e+10 3.868990399645e+00 -3.167100000000e+02 7.452000000000e+02 3.936600000000e+01 4.150751789484e+00 1.941902351977e+01
2.80 3.571428571429e-01 1.485426827170e+00 2.007984063682e+01 8.366600265341e+01 1.690637882121e+00 1.202590842880e+10 4.159195116077e+00 -3.161600000000e+02 8.008000000000e+02 4.390400000000e+01 4.615518921780e+00 2.167402216753e+01
2.90 3.448275862069e-01 1.536052900240e+00 2.043526363911e+01 8.514693182963e+01 1.721166873904e+00 1.245540515840e+10 4.454553410697e+00 -3.155900000000e+02 8.584000000000e+02 4.877800000000e+01 5.131777115515e+00 2.419087841570e+01
3.00 3.333333333333e-01 1.584962500721e+00 2.078460969083e+01 8.660254037844e+01 1.751184239261e+00 1.288490188800e+10 4.754887502163e+00 -3.150000000000e+02 9.180000000000e+02 5.400000000000e+01 5.704522494691e+00 2.700000000000e+01
3.10 3.225806451613e-01 1.632268215500e+00 2.112818023399e+01 8.803408430830e+01 1.780715191992e+00 1.331439861760e+10 5.060031468048e+00 -3.143900000000e+02 9.796000000000e+02 5.958200000000e+01 6.339194472308e+00 3.013532569892e+01
3.20 3.125000000000e-01 1.678071905113e+00 2.146625258400e+01 8.944271909999e+01 1.809782935596e+00 1.374389534720e+10 5.369830096360e+00 -3.137600000000e+02 1.043200000000e+03 6.553600000000e+01 7.041707584283e+00 3.363473536962e+01
3.30 3.030303030303e-01 1.722466024471e+00 2.179908254950e+01 9.082951062292e+01 1.838408880980e+00 1.417339207680e+10 5.684137880755e+00 -3.131100000000e+02 1.108800000000e+03 7.187400000000e+01 7.818485672573e+00 3.754050759853e+01
3.40 2.941176470588e-01 1.765534746363e+00 2.212690669750e+01 9.219544457293e+01 1.866612834744e+00 1.460288880640e+10 6.002818137634e+00 -3.124400000000e+02 1.176400000000e+03 7.860800000000e+01 8.676498479233e+00 4.189983049571e+01
3.50 2.857142857143e-01 1.807354922058e+00 2.244994432064e+01 9.354143466935e+01 1.894413162763e+00 1.503238553600e+10 6.325742227202e+00 -3.117500000000e+02 1.246000000000e+03 8.575000000000e+01 9.623300732180e+00 4.676537180436e+01
3.60 2.777777777778e-01 1.847996906555e+00 2.276839915321e+01 9.486832980505e+01 1.921826932918e+00 1.546188226560e+10 6.652788863598e+00 -3.110400000000e+02 1.317600000000e+03 9.331200000000e+01 1.066707381880e+01 5.219591521316e+01
3.70 2.702702702703e-01 1.887525270742e+00 2.308246087401e+01 9.617692030836e+01 1.948870040133e+00 1.589137899520e+10 6.983843501744e+00 -3.103100000000e+02 1.391200000000e+03 1.013060000000e+02 1.181667015637e+01 5.825707055931e+01
3.80 2.631578947368e-01 1.925999418556e+00 2.339230642754e+01 9.746794344809e+01 1.975557316337e+00 1.632087572480e+10 7.318797790514e+00 -3.095600000000e+02 1.466800000000e+03 1.097440000000e+02 1.308166037946e+01 6.502206650258e+01
3.90 2.564102564103e-01 1.963474123975e+00 2.369810118976e+01 9.874208829066e+01 2.001902627503e+00 1.675037245440e+10 7.657549083502e+00 -3.087900000000e+02 1.544400000000e+03 1.186380000000e+02 1.447238347437e+01 7.257263524710e+01
4.00 2.500000000000e-01 2.000000000000e+00 2.400000000000e+01 1.000000000000e+02 2.027918959580e+00 1.717986918400e+10 8.000000000000e+00 -3.080000000000e+02 1.624000000000e+03 1.280000000000e+02 1.600000000000e+01 8.100000000000e+01
4.10 2.439024390244e-01 2.035623909731e+00 2.429814807758e+01 1.012422836566e+02 2.053618494841e+00 1.760936591360e+10 8.346058029896e+00 -3.071900000000e+02 1.705600000000e+03 1.378420000000e+02 1.767654854313e+01 9.040597709675e+01
4.20 2.380952380952e-01 2.070389327891e+00 2.459268183830e+01 1.024695076596e+02 2.079012679905e+00 1.803886264320e+10 8.695635177144e+00 -3.063600000000e+02 1.789200000000e+03 1.481760000000e+02 1.951500556467e+01 1.009042061089e+02
4.30 2.325581395349e-01 2.104336659815e+00 2.488372962399e+01 1.036822067666e+02 2.104112286536e+00 1.846835937280e+10 9.048647637203e+00 -3.055100000000e+02 1.874800000000e+03 1.590140000000e+02 2.152934880156e+01 1.126215227956e+02
4.40 2.272727272727e-01 2.137503523750e+00 2.517141235608e+01 1.048808848170e+02 2.128927466120e+00 1.889785610240e+10 9.405015504500e+00 -3.046400000000e+02 1.962400000000e+03 1.703680000000e+02 2.373462439722e+01 1.256994914871e+02
4.50 2.222222222222e-01 2.169925001442e+00 2.545584412272e+01 1.060660171780e+02 2.153467798619e+00 1.932735283200e+10 9.764662506490e+00 -3.037500000000e+02 2.052000000000e+03 1.822500000000e+02 2.614701794189e+01 1.402961154131e+02
4.60 2.173913043478e-01 2.201633861170e+00 2.573713270743e+01 1.072380529476e+02 2.177742336654e+00 1.975684956160e+10 1.012751576138e+01 -3.028400000000e+02 2.143600000000e+03 1.946720000000e+02 2.878392961221e+01 1.565877456395e+02
4.70 2.127659574468e-01 2.232660756790e+00 2.601538006641e+01 1.083974169434e+02 2.201759645319e+00 2.018634629120e+10 1.049350555691e+01 -3.019100000000e+02 2.237200000000e+03 2.076460000000e+02 3.166405360815e+01 1.747712116779e+02
