# tosses fair_probability biased_probability
1 1.00000000 1.00000000
2 1.00000000 1.00000000
3 0.66666667 1.00000000
4 0.75000000 0.75000000
5 0.80000000 0.80000000
6 0.83333333 0.66666667
7 0.71428571 0.71428571
8 0.75000000 0.75000000
9 0.66666667 0.77777778
10 0.60000000 0.80000000
11 0.63636364 0.81818182
12 0.66666667 0.75000000
13 0.61538462 0.76923077
14 0.57142857 0.78571429
15 0.53333333 0.80000000
16 0.56250000 0.81250000
17 0.58823529 0.82352941
18 0.61111111 0.77777778
19 0.63157895 0.78947368
20 0.65000000 0.80000000
21 0.61904762 0.80952381
22 0.63636364 0.81818182
23 0.65217391 0.82608696
24 0.66666667 0.83333333
25 0.64000000 0.84000000
26 0.61538462 0.84615385
27 0.62962963 0.85185185
28 0.60714286 0.82142857
29 0.62068966 0.82758621
30 0.63333333 0.83333333
31 0.61290323 0.83870968
32 0.62500000 0.84375000
33 0.63636364 0.84848485
34 0.61764706 0.85294118
35 0.60000000 0.85714286
36 0.61111111 0.83333333
37 0.59459459 0.83783784
38 0.60526316 0.84210526
39 0.61538462 0.84615385
40 0.62500000 0.85000000
41 0.63414634 0.85365854
42 0.64285714 0.85714286
43 0.65116279 0.83720930
44 0.63636364 0.84090909
45 0.64444444 0.84444444
46 0.63043478 0.84782609
47 0.63829787 0.85106383
48 0.62500000 0.83333333
49 0.61224490 0.81632653
50 0.62000000 0.80000000
51 0.62745098 0.80392157
52 0.63461538 0.78846154
53 0.64150943 0.79245283
54 0.62962963 0.79629630
55 0.63636364 0.78181818
56 0.62500000 0.78571429
57 0.61403509 0.78947368
58 0.62068966 0.77586207
59 0.61016949 0.76271186
60 0.61666667 0.76666667
61 0.60655738 0.75409836
62 0.59677419 0.74193548
63 0.58730159 0.74603175
64 0.59375000 0.75000000
65 0.60000000 0.73846154
66 0.60606061 0.74242424
67 0.59701493 0.74626866
68 0.58823529 0.75000000
69 0.57971014 0.75362319
70 0.58571429 0.75714286
71 0.57746479 0.76056338
72 0.58333333 0.76388889
73 0.58904110 0.76712329
74 0.58108108 0.75675676
75 0.57333333 0.74666667
76 0.56578947 0.75000000
77 0.57142857 0.74025974
78 0.57692308 0.73076923
79 0.56962025 0.73417722
80 0.57500000 0.72500000
81 0.56790123 0.72839506
82 0.57317073 0.71951220
83 0.57831325 0.71084337
