# R1=Unsorted_array R2=Sorted_array R3=Singly_linked_unsorted R4=Singly_linked_sorted R5=Doubly_linked_unsorted R6=Doubly_linked_sorted
# metric=dominant_step_count; experiment targets worst-case configurations
# n R1_Search R1_Insert R1_Delete R1_Maximum R1_Minimum R1_Predecessor R1_Successor R2_Search R2_Insert R2_Delete R2_Maximum R2_Minimum R2_Predecessor R2_Successor R3_Search R3_Insert R3_Delete R3_Maximum R3_Minimum R3_Predecessor R3_Successor R4_Search R4_Insert R4_Delete R4_Maximum R4_Minimum R4_Predecessor R4_Successor R5_Search R5_Insert R5_Delete R5_Maximum R5_Minimum R5_Predecessor R5_Successor R6_Search R6_Insert R6_Delete R6_Maximum R6_Minimum R6_Predecessor R6_Successor
64 64 1 1 63 63 64 64 7 64 63 1 1 1 1 64 1 63 63 63 64 64 64 63 63 1 1 63 1 64 1 1 63 63 64 64 64 63 1 1 1 1 1
753 753 1 1 752 752 753 753 10 753 752 1 1 1 1 753 1 752 752 752 753 753 753 752 752 1 1 752 1 753 1 1 752 752 753 753 753 752 1 1 1 1 1
1442 1442 1 1 1441 1441 1442 1442 11 1442 1441 1 1 1 1 1442 1 1441 1441 1441 1442 1442 1442 1441 1441 1 1 1441 1 1442 1 1 1441 1441 1442 1442 1442 1441 1 1 1 1 1
2131 2131 1 1 2130 2130 2131 2131 12 2131 2130 1 1 1 1 2131 1 2130 2130 2130 2131 2131 2131 2130 2130 1 1 2130 1 2131 1 1 2130 2130 2131 2131 2131 2130 1 1 1 1 1
2820 2820 1 1 2819 2819 2820 2820 12 2820 2819 1 1 1 1 2820 1 2819 2819 2819 2820 2820 2820 2819 2819 1 1 2819 1 2820 1 1 2819 2819 2820 2820 2820 2819 1 1 1 1 1
3509 3509 1 1 3508 3508 3509 3509 12 3509 3508 1 1 1 1 3509 1 3508 3508 3508 3509 3509 3509 3508 3508 1 1 3508 1 3509 1 1 3508 3508 3509 3509 3509 3508 1 1 1 1 1
4199 4199 1 1 4198 4198 4199 4199 13 4199 4198 1 1 1 1 4199 1 4198 4198 4198 4199 4199 4199 4198 4198 1 1 4198 1 4199 1 1 4198 4198 4199 4199 4199 4198 1 1 1 1 1
4888 4888 1 1 4887 4887 4888 4888 13 4888 4887 1 1 1 1 4888 1 4887 4887 4887 4888 4888 4888 4887 4887 1 1 4887 1 4888 1 1 4887 4887 4888 4888 4888 4887 1 1 1 1 1
5577 5577 1 1 5576 5576 5577 5577 13 5577 5576 1 1 1 1 5577 1 5576 5576 5576 5577 5577 5577 5576 5576 1 1 5576 1 5577 1 1 5576 5576 5577 5577 5577 5576 1 1 1 1 1
6266 6266 1 1 6265 6265 6266 6266 13 6266 6265 1 1 1 1 6266 1 6265 6265 6265 6266 6266 6266 6265 6265 1 1 6265 1 6266 1 1 6265 6265 6266 6266 6266 6265 1 1 1 1 1
6955 6955 1 1 6954 6954 6955 6955 13 6955 6954 1 1 1 1 6955 1 6954 6954 6954 6955 6955 6955 6954 6954 1 1 6954 1 6955 1 1 6954 6954 6955 6955 6955 6954 1 1 1 1 1
7644 7644 1 1 7643 7643 7644 7644 13 7644 7643 1 1 1 1 7644 1 7643 7643 7643 7644 7644 7644 7643 7643 1 1 7643 1 7644 1 1 7643 7643 7644 7644 7644 7643 1 1 1 1 1
8334 8334 1 1 8333 8333 8334 8334 14 8334 8333 1 1 1 1 8334 1 8333 8333 8333 8334 8334 8334 8333 8333 1 1 8333 1 8334 1 1 8333 8333 8334 8334 8334 8333 1 1 1 1 1
9023 9023 1 1 9022 9022 9023 9023 14 9023 9022 1 1 1 1 9023 1 9022 9022 9022 9023 9023 9023 9022 9022 1 1 9022 1 9023 1 1 9022 9022 9023 9023 9023 9022 1 1 1 1 1
9712 9712 1 1 9711 9711 9712 9712 14 9712 9711 1 1 1 1 9712 1 9711 9711 9711 9712 9712 9712 9711 9711 1 1 9711 1 9712 1 1 9711 9711 9712 9712 9712 9711 1 1 1 1 1
10401 10401 1 1 10400 10400 10401 10401 14 10401 10400 1 1 1 1 10401 1 10400 10400 10400 10401 10401 10401 10400 10400 1 1 10400 1 10401 1 1 10400 10400 10401 10401 10401 10400 1 1 1 1 1
11090 11090 1 1 11089 11089 11090 11090 14 11090 11089 1 1 1 1 11090 1 11089 11089 11089 11090 11090 11090 11089 11089 1 1 11089 1 11090 1 1 11089 11089 11090 11090 11090 11089 1 1 1 1 1
11780 11780 1 1 11779 11779 11780 11780 14 11780 11779 1 1 1 1 11780 1 11779 11779 11779 11780 11780 11780 11779 11779 1 1 11779 1 11780 1 1 11779 11779 11780 11780 11780 11779 1 1 1 1 1
12469 12469 1 1 12468 12468 12469 12469 14 12469 12468 1 1 1 1 12469 1 12468 12468 12468 12469 12469 12469 12468 12468 1 1 12468 1 12469 1 1 12468 12468 12469 12469 12469 12468 1 1 1 1 1
13158 13158 1 1 13157 13157 13158 13158 14 13158 13157 1 1 1 1 13158 1 13157 13157 13157 13158 13158 13158 13157 13157 1 1 13157 1 13158 1 1 13157 13157 13158 13158 13158 13157 1 1 1 1 1
13847 13847 1 1 13846 13846 13847 13847 14 13847 13846 1 1 1 1 13847 1 13846 13846 13846 13847 13847 13847 13846 13846 1 1 13846 1 13847 1 1 13846 13846 13847 13847 13847 13846 1 1 1 1 1
14536 14536 1 1 14535 14535 14536 14536 14 14536 14535 1 1 1 1 14536 1 14535 14535 14535 14536 14536 14536 14535 14535 1 1 14535 1 14536 1 1 14535 14535 14536 14536 14536 14535 1 1 1 1 1
15225 15225 1 1 15224 15224 15225 15225 14 15225 15224 1 1 1 1 15225 1 15224 15224 15224 15225 15225 15225 15224 15224 1 1 15224 1 15225 1 1 15224 15224 15225 15225 15225 15224 1 1 1 1 1
15915 15915 1 1 15914 15914 15915 15915 14 15915 15914 1 1 1 1 15915 1 15914 15914 15914 15915 15915 15915 15914 15914 1 1 15914 1 15915 1 1 15914 15914 15915 15915 15915 15914 1 1 1 1 1
16604 16604 1 1 16603 16603 16604 16604 15 16604 16603 1 1 1 1 16604 1 16603 16603 16603 16604 16604 16604 16603 16603 1 1 16603 1 16604 1 1 16603 16603 16604 16604 16604 16603 1 1 1 1 1
17293 17293 1 1 17292 17292 17293 17293 15 17293 17292 1 1 1 1 17293 1 17292 17292 17292 17293 17293 17293 17292 17292 1 1 17292 1 17293 1 1 17292 17292 17293 17293 17293 17292 1 1 1 1 1
17982 17982 1 1 17981 17981 17982 17982 15 17982 17981 1 1 1 1 17982 1 17981 17981 17981 17982 17982 17982 17981 17981 1 1 17981 1 17982 1 1 17981 17981 17982 17982 17982 17981 1 1 1 1 1
18671 18671 1 1 18670 18670 18671 18671 15 18671 18670 1 1 1 1 18671 1 18670 18670 18670 18671 18671 18671 18670 18670 1 1 18670 1 18671 1 1 18670 18670 18671 18671 18671 18670 1 1 1 1 1
19361 19361 1 1 19360 19360 19361 19361 15 19361 19360 1 1 1 1 19361 1 19360 19360 19360 19361 19361 19361 19360 19360 1 1 19360 1 19361 1 1 19360 19360 19361 19361 19361 19360 1 1 1 1 1
20050 20050 1 1 20049 20049 20050 20050 15 20050 20049 1 1 1 1 20050 1 20049 20049 20049 20050 20050 20050 20049 20049 1 1 20049 1 20050 1 1 20049 20049 20050 20050 20050 20049 1 1 1 1 1
20739 20739 1 1 20738 20738 20739 20739 15 20739 20738 1 1 1 1 20739 1 20738 20738 20738 20739 20739 20739 20738 20738 1 1 20738 1 20739 1 1 20738 20738 20739 20739 20739 20738 1 1 1 1 1
21428 21428 1 1 21427 21427 21428 21428 15 21428 21427 1 1 1 1 21428 1 21427 21427 21427 21428 21428 21428 21427 21427 1 1 21427 1 21428 1 1 21427 21427 21428 21428 21428 21427 1 1 1 1 1
22117 22117 1 1 22116 22116 22117 22117 15 22117 22116 1 1 1 1 22117 1 22116 22116 22116 22117 22117 22117 22116 22116 1 1 22116 1 22117 1 1 22116 22116 22117 22117 22117 22116 1 1 1 1 1
22806 22806 1 1 22805 22805 22806 22806 15 22806 22805 1 1 1 1 22806 1 22805 22805 22805 22806 22806 22806 22805 22805 1 1 22805 1 22806 1 1 22805 22805 22806 22806 22806 22805 1 1 1 1 1
23496 23496 1 1 23495 23495 23496 23496 15 23496 23495 1 1 1 1 23496 1 23495 23495 23495 23496 23496 23496 23495 23495 1 1 23495 1 23496 1 1 23495 23495 23496 23496 23496 23495 1 1 1 1 1
24185 24185 1 1 24184 24184 24185 24185 15 24185 24184 1 1 1 1 24185 1 24184 24184 24184 24185 24185 24185 24184 24184 1 1 24184 1 24185 1 1 24184 24184 24185 24185 24185 24184 1 1 1 1 1
24874 24874 1 1 24873 24873 24874 24874 15 24874 24873 1 1 1 1 24874 1 24873 24873 24873 24874 24874 24874 24873 24873 1 1 24873 1 24874 1 1 24873 24873 24874 24874 24874 24873 1 1 1 1 1
