# n comparisons_2way comparisons_3way cpu_ms_2way cpu_ms_3way normalized_2way normalized_3way
2000 19410 24070 0.124000 0.121000 0.885025617 1.097504719
4000 42771 52912 0.265000 0.256000 0.893610460 1.105485415
6000 67890 84161 0.406000 0.485000 0.901539980 1.117609460
8000 93736 116381 0.534000 0.505000 0.903686175 1.122001159
10000 120456 149237 0.681000 1.028000 0.906521729 1.123120337
12000 147754 183051 0.936000 1.148000 0.908646108 1.125712866
14000 175420 217424 1.106000 1.021000 0.909741767 1.127577779
16000 203287 252653 1.454000 1.362000 0.909754672 1.130678534
18000 231992 288400 1.800000 1.261000 0.911764962 1.133457253
20000 260976 324578 1.603000 1.385000 0.913288262 1.135864131
22000 290155 360709 1.850000 1.508000 0.914292287 1.136611316
24000 319161 396948 1.888000 1.707000 0.913930755 1.136677055
26000 348973 433760 2.004000 1.842000 0.915166607 1.137516850
28000 378549 470637 2.108000 2.131000 0.915147888 1.137772010
30000 408600 507975 2.433000 2.220000 0.915773397 1.138497287
32000 438628 545038 2.895000 2.460000 0.915897539 1.138091875
34000 469219 582686 2.869000 2.680000 0.916782851 1.138480182
36000 499782 620549 4.486000 3.342000 0.917223836 1.138861212
38000 530838 658629 3.335000 3.024000 0.918212547 1.139257949
40000 561822 697261 3.422000 3.347000 0.918747662 1.140231093
42000 592735 736010 3.629000 3.286000 0.918911618 1.141029533
44000 624137 775513 3.909000 4.584000 0.919593729 1.142628769
46000 655319 814771 3.948000 3.563000 0.919733151 1.143522313
48000 686690 854252 4.126000 3.793000 0.919958499 1.144441287
50000 718076 893506 4.445000 4.017000 0.920041690 1.144813042
52000 749790 933636 4.304000 4.070000 0.920390163 1.146066752
54000 781527 973251 4.476000 4.121000 0.920617288 1.146462881
56000 812998 1012976 4.810000 4.618000 0.920414208 1.146814018
58000 845236 1053353 4.999000 4.612000 0.920958711 1.147720426
60000 877102 1093637 5.029000 4.828000 0.920976885 1.148343519
62000 909213 1133296 5.357000 5.080000 0.921152241 1.148177765
64000 941277 1173846 5.629000 4.997000 0.921185760 1.148790653
66000 973425 1214209 5.693000 5.202000 0.921217944 1.149088136
68000 1006197 1254560 6.099000 5.811000 0.921745899 1.149263549
70000 1038910 1295012 5.988000 5.481000 0.922119252 1.149431132
72000 1071779 1334989 6.535000 5.689000 0.922538897 1.149098162
74000 1104911 1376048 6.382000 5.979000 0.923091830 1.149611749
76000 1137653 1416774 6.989000 6.180000 0.923238220 1.149752962
78000 1170773 1457318 6.825000 6.249000 0.923619346 1.149673847
80000 1203410 1498247 7.161000 6.354000 0.923556645 1.149829213
82000 1236277 1539107 7.292000 6.550000 0.923619321 1.149862824
84000 1270054 1580081 7.258000 6.667000 0.924293708 1.149918764
86000 1303198 1621135 7.387000 7.054000 0.924439957 1.149972583
88000 1336222 1662971 7.809000 7.469000 0.924453048 1.150511375
90000 1369437 1703864 7.638000 7.306000 0.924553526 1.150336575
92000 1402908 1744602 8.054000 7.759000 0.924778932 1.150019227
94000 1435914 1786120 7.892000 7.800000 0.924657132 1.150172362
96000 1469589 1827667 8.787000 8.049000 0.924926165 1.150292380
98000 1502662 1868947 8.326000 8.312000 0.924778574 1.150200206
100000 1536346 1910394 10.396000 8.390000 0.924972459 1.150171795
102000 1570023 1952088 8.889000 8.587000 0.925122516 1.150251023
104000 1603765 1993999 9.141000 8.666000 0.925273614 1.150414593
106000 1637689 2035786 9.263000 8.708000 0.925492362 1.150465316
108000 1670787 2077552 9.585000 9.162000 0.925217013 1.150467687
110000 1705278 2119831 9.975000 10.359000 0.925681852 1.150715066
112000 1738872 2161640 12.956000 9.743000 0.925625350 1.150670540
114000 1772709 2203510 10.854000 10.306000 0.925672983 1.150628600
116000 1806578 2245449 10.529000 9.944000 0.925711220 1.150593737
118000 1840177 2287715 10.336000 10.370000 0.925589079 1.150695841
120000 1874334 2330996 11.642000 10.199000 0.925724588 1.151267763
122000 1907889 2373485 10.894000 10.193000 0.925541646 1.151408291
124000 1942227 2416917 10.713000 10.072000 0.925717431 1.151967404
126000 1975722 2459583 11.351000 10.834000 0.925472107 1.152123356
128000 2010270 2503682 11.856000 13.728000 0.925700463 1.152909603
130000 2044167 2547078 12.097000 13.242000 0.925607532 1.153327777
132000 2078895 2590647 13.779000 11.467000 0.925869451 1.153786467
134000 2113548 2633748 12.668000 15.521000 0.926072302 1.154003161
136000 2147709 2676042 16.953000 13.838000 0.926039353 1.153843562
138000 2182865 2719571 13.233000 11.504000 0.926413043 1.154192332
140000 2217857 2763416 12.434000 12.149000 0.926690456 1.154642176
142000 2252650 2807015 13.495000 12.111000 0.926861809 1.154957495
144000 2288350 2850703 13.273000 12.494000 0.927380313 1.155280373
146000 2322779 2894143 14.167000 12.847000 0.927361153 1.155476173
148000 2357580 2938134 13.295000 12.735000 0.927474479 1.155865040
150000 2392108 2981408 14.147000 13.560000 0.927464664 1.155947210
152000 2427378 3025410 14.253000 14.281000 0.927725077 1.156288277
154000 2462075 3068544 15.101000 13.473000 0.927748980 1.156276135
156000 2497162 3112363 14.316000 13.343000 0.927904218 1.156502764
158000 2532121 3156265 16.151000 13.387000 0.927995711 1.156737921
160000 2567239 3199693 15.344000 13.560000 0.928129957 1.156780077
