# n worst_weighings ceil_log2_n bound_plus_1
2 1 1 2
3 2 2 3
4 2 2 3
5 2 3 4
6 3 3 4
7 3 3 4
8 3 3 4
9 3 4 5
10 3 4 5
11 3 4 5
12 4 4 5
13 4 4 5
14 4 4 5
15 4 4 5
16 4 4 5
17 4 5 6
18 4 5 6
19 4 5 6
20 4 5 6
21 4 5 6
22 4 5 6
23 4 5 6
24 5 5 6
25 5 5 6
26 5 5 6
27 5 5 6
28 5 5 6
29 5 5 6
30 5 5 6
31 5 5 6
32 5 5 6
33 5 6 7
34 5 6 7
35 5 6 7
36 5 6 7
37 5 6 7
38 5 6 7
39 5 6 7
40 5 6 7
41 5 6 7
42 5 6 7
43 5 6 7
44 5 6 7
45 5 6 7
46 5 6 7
47 5 6 7
48 6 6 7
49 6 6 7
50 6 6 7
51 6 6 7
52 6 6 7
53 6 6 7
54 6 6 7
55 6 6 7
56 6 6 7
57 6 6 7
58 6 6 7
59 6 6 7
60 6 6 7
61 6 6 7
62 6 6 7
63 6 6 7
64 6 6 7
80 6 7 8
96 7 7 8
112 7 7 8
128 7 7 8
144 7 8 9
160 7 8 9
176 7 8 9
192 8 8 9
208 8 8 9
224 8 8 9
240 8 8 9
256 8 8 9
272 8 9 10
288 8 9 10
304 8 9 10
320 8 9 10
336 8 9 10
352 8 9 10
368 8 9 10
384 9 9 10
400 9 9 10
416 9 9 10
432 9 9 10
448 9 9 10
464 9 9 10
480 9 9 10
496 9 9 10
512 9 9 10
528 9 10 11
544 9 10 11
560 9 10 11
576 9 10 11
592 9 10 11
608 9 10 11
624 9 10 11
640 9 10 11
656 9 10 11
672 9 10 11
688 9 10 11
704 9 10 11
720 9 10 11
736 9 10 11
752 9 10 11
768 10 10 11
784 10 10 11
800 10 10 11
816 10 10 11
832 10 10 11
848 10 10 11
864 10 10 11
880 10 10 11
896 10 10 11
912 10 10 11
928 10 10 11
944 10 10 11
960 10 10 11
976 10 10 11
992 10 10 11
1008 10 10 11
1024 10 10 11
