# n sorted_cmp reverse_cmp random_cmp exact_n_nminus1_over2 sorted_swaps reverse_swaps random_swaps
8 28 28 28 28 0 4 6
16 120 120 120 120 0 8 15
24 276 276 276 276 0 12 21
32 496 496 496 496 0 16 26
40 780 780 780 780 0 20 36
48 1128 1128 1128 1128 0 24 39
56 1540 1540 1540 1540 0 28 51
64 2016 2016 2016 2016 0 32 60
72 2556 2556 2556 2556 0 36 70
80 3160 3160 3160 3160 0 40 75
88 3828 3828 3828 3828 0 44 84
96 4560 4560 4560 4560 0 48 89
104 5356 5356 5356 5356 0 52 101
112 6216 6216 6216 6216 0 56 110
120 7140 7140 7140 7140 0 60 113
128 8128 8128 8128 8128 0 64 122
136 9180 9180 9180 9180 0 68 131
144 10296 10296 10296 10296 0 72 139
152 11476 11476 11476 11476 0 76 148
160 12720 12720 12720 12720 0 80 153
168 14028 14028 14028 14028 0 84 161
176 15400 15400 15400 15400 0 88 169
184 16836 16836 16836 16836 0 92 179
192 18336 18336 18336 18336 0 96 185
200 19900 19900 19900 19900 0 100 194
208 21528 21528 21528 21528 0 104 199
216 23220 23220 23220 23220 0 108 212
224 24976 24976 24976 24976 0 112 215
232 26796 26796 26796 26796 0 116 225
240 28680 28680 28680 28680 0 120 233
248 30628 30628 30628 30628 0 124 239
256 32640 32640 32640 32640 0 128 253
264 34716 34716 34716 34716 0 132 258
272 36856 36856 36856 36856 0 136 268
280 39060 39060 39060 39060 0 140 274
288 41328 41328 41328 41328 0 144 284
296 43660 43660 43660 43660 0 148 291
304 46056 46056 46056 46056 0 152 295
312 48516 48516 48516 48516 0 156 304
320 51040 51040 51040 51040 0 160 313
328 53628 53628 53628 53628 0 164 322
336 56280 56280 56280 56280 0 168 325
344 58996 58996 58996 58996 0 172 339
352 61776 61776 61776 61776 0 176 342
360 64620 64620 64620 64620 0 180 353
368 67528 67528 67528 67528 0 184 362
376 70500 70500 70500 70500 0 188 372
384 73536 73536 73536 73536 0 192 371
392 76636 76636 76636 76636 0 196 385
400 79800 79800 79800 79800 0 200 393
408 83028 83028 83028 83028 0 204 400
416 86320 86320 86320 86320 0 208 412
424 89676 89676 89676 89676 0 212 415
432 93096 93096 93096 93096 0 216 429
440 96580 96580 96580 96580 0 220 431
448 100128 100128 100128 100128 0 224 442
456 103740 103740 103740 103740 0 228 450
464 107416 107416 107416 107416 0 232 458
472 111156 111156 111156 111156 0 236 466
480 114960 114960 114960 114960 0 240 470
488 118828 118828 118828 118828 0 244 480
496 122760 122760 122760 122760 0 248 489
504 126756 126756 126756 126756 0 252 499
512 130816 130816 130816 130816 0 256 505
