n        comparisons    3n/2           exact formula 
1        0              1.5            0             
2        1              3.0            1             
3        3              4.5            3             
4        4              6.0            4             
5        6              7.5            6             
6        7              9.0            7             
7        9              10.5           9             
8        10             12.0           10            
9        12             13.5           12            
10       13             15.0           13            
11       15             16.5           15            
12       16             18.0           16            
13       18             19.5           18            
14       19             21.0           19            
15       21             22.5           21            
16       22             24.0           22            
32       46             48.0           46            
64       94             96.0           94            
128      190            192.0          190           
256      382            384.0          382           
512      766            768.0          766           
1024     1534           1536.0         1534          
2048     3070           3072.0         3070          
4096     6142           6144.0         6142          

Every tested n satisfies comparisons <= 3n/2 and matches the exact pairwise-tournament formula.
