# n comparisons three_n_over_2 exact_formula
1 0 1.5 0
2 1 3.0 1
3 3 4.5 3
4 4 6.0 4
5 6 7.5 6
6 7 9.0 7
7 9 10.5 9
8 10 12.0 10
9 12 13.5 12
10 13 15.0 13
11 15 16.5 15
12 16 18.0 16
13 18 19.5 18
14 19 21.0 19
15 21 22.5 21
16 22 24.0 22
17 24 25.5 24
18 25 27.0 25
19 27 28.5 27
20 28 30.0 28
21 30 31.5 30
22 31 33.0 31
23 33 34.5 33
24 34 36.0 34
25 36 37.5 36
26 37 39.0 37
27 39 40.5 39
28 40 42.0 40
29 42 43.5 42
30 43 45.0 43
31 45 46.5 45
32 46 48.0 46
33 48 49.5 48
34 49 51.0 49
35 51 52.5 51
36 52 54.0 52
37 54 55.5 54
38 55 57.0 55
39 57 58.5 57
40 58 60.0 58
41 60 61.5 60
42 61 63.0 61
43 63 64.5 63
44 64 66.0 64
45 66 67.5 66
46 67 69.0 67
47 69 70.5 69
48 70 72.0 70
49 72 73.5 72
50 73 75.0 73
51 75 76.5 75
52 76 78.0 76
53 78 79.5 78
54 79 81.0 79
55 81 82.5 81
56 82 84.0 82
57 84 85.5 84
58 85 87.0 85
59 87 88.5 87
60 88 90.0 88
61 90 91.5 90
62 91 93.0 91
63 93 94.5 93
64 94 96.0 94
96 142 144.0 142
128 190 192.0 190
160 238 240.0 238
192 286 288.0 286
224 334 336.0 334
256 382 384.0 382
288 430 432.0 430
320 478 480.0 478
352 526 528.0 526
384 574 576.0 574
416 622 624.0 622
448 670 672.0 670
480 718 720.0 718
512 766 768.0 766
544 814 816.0 814
576 862 864.0 862
608 910 912.0 910
640 958 960.0 958
672 1006 1008.0 1006
704 1054 1056.0 1054
736 1102 1104.0 1102
768 1150 1152.0 1150
800 1198 1200.0 1198
832 1246 1248.0 1246
864 1294 1296.0 1294
896 1342 1344.0 1342
928 1390 1392.0 1390
960 1438 1440.0 1438
992 1486 1488.0 1486
1024 1534 1536.0 1534
1056 1582 1584.0 1582
1088 1630 1632.0 1630
1120 1678 1680.0 1678
1152 1726 1728.0 1726
1184 1774 1776.0 1774
1216 1822 1824.0 1822
1248 1870 1872.0 1870
1280 1918 1920.0 1918
1312 1966 1968.0 1966
1344 2014 2016.0 2014
1376 2062 2064.0 2062
1408 2110 2112.0 2110
1440 2158 2160.0 2158
1472 2206 2208.0 2206
1504 2254 2256.0 2254
1536 2302 2304.0 2302
1568 2350 2352.0 2350
1600 2398 2400.0 2398
1632 2446 2448.0 2446
1664 2494 2496.0 2494
1696 2542 2544.0 2542
1728 2590 2592.0 2590
1760 2638 2640.0 2638
1792 2686 2688.0 2686
1824 2734 2736.0 2734
1856 2782 2784.0 2782
1888 2830 2832.0 2830
1920 2878 2880.0 2878
1952 2926 2928.0 2926
1984 2974 2976.0 2974
2016 3022 3024.0 3022
2048 3070 3072.0 3070
2080 3118 3120.0 3118
2112 3166 3168.0 3166
2144 3214 3216.0 3214
2176 3262 3264.0 3262
2208 3310 3312.0 3310
2240 3358 3360.0 3358
2272 3406 3408.0 3406
2304 3454 3456.0 3454
2336 3502 3504.0 3502
2368 3550 3552.0 3550
2400 3598 3600.0 3598
2432 3646 3648.0 3646
2464 3694 3696.0 3694
2496 3742 3744.0 3742
2528 3790 3792.0 3790
2560 3838 3840.0 3838
2592 3886 3888.0 3886
2624 3934 3936.0 3934
2656 3982 3984.0 3982
2688 4030 4032.0 4030
2720 4078 4080.0 4078
2752 4126 4128.0 4126
2784 4174 4176.0 4174
2816 4222 4224.0 4222
2848 4270 4272.0 4270
2880 4318 4320.0 4318
2912 4366 4368.0 4366
2944 4414 4416.0 4414
2976 4462 4464.0 4462
3008 4510 4512.0 4510
3040 4558 4560.0 4558
3072 4606 4608.0 4606
3104 4654 4656.0 4654
3136 4702 4704.0 4702
3168 4750 4752.0 4750
3200 4798 4800.0 4798
3232 4846 4848.0 4846
3264 4894 4896.0 4894
3296 4942 4944.0 4942
3328 4990 4992.0 4990
3360 5038 5040.0 5038
3392 5086 5088.0 5086
3424 5134 5136.0 5134
3456 5182 5184.0 5182
3488 5230 5232.0 5230
3520 5278 5280.0 5278
3552 5326 5328.0 5326
3584 5374 5376.0 5374
3616 5422 5424.0 5422
3648 5470 5472.0 5470
3680 5518 5520.0 5518
3712 5566 5568.0 5566
3744 5614 5616.0 5614
3776 5662 5664.0 5662
3808 5710 5712.0 5710
3840 5758 5760.0 5758
3872 5806 5808.0 5806
3904 5854 5856.0 5854
3936 5902 5904.0 5902
3968 5950 5952.0 5950
4000 5998 6000.0 5998
4032 6046 6048.0 6046
4064 6094 6096.0 6094
4096 6142 6144.0 6142
