# n k sort_cmp prefixes binary_cmp total reference ratio valid
16 2 47 15 49 96 64.000 1.500000000000 1
24 2 82 23 89 171 110.039 1.553993080397 1
32 2 121 31 129 250 160.000 1.562500000000 1
48 2 214 47 225 439 268.078 1.637581869556 1
64 2 308 63 321 629 384.000 1.638020833333 1
96 2 508 95 545 1053 632.156 1.665727025598 1
128 2 726 127 769 1495 896.000 1.668526785714 1
16 3 47 105 290 337 1024.000 0.329101562500 1
24 3 82 253 822 904 2640.938 0.342302569366 1
32 3 120 465 1674 1794 5120.000 0.350390625000 1
48 3 210 1081 4458 4668 12867.754 0.362767282037 1
64 3 300 1953 8778 9078 24576.000 0.369384765625 1
96 3 510 4465 22522 23032 60687.014 0.379521059409 1
128 3 738 8001 43434 44172 114688.000 0.385149274554 1
16 4 45 455 1095 1140 16384.000 0.069580078125 1
24 4 81 1771 5067 5148 63382.522 0.081221129568 1
32 4 123 4495 14415 14538 163840.000 0.088732910156 1
48 4 213 16215 60039 60252 617652.173 0.097550049438 1
64 4 298 39711 161727 162025 1572864.000 0.103012720744 1
96 4 517 138415 636559 637076 5825953.383 0.109351372748 1
128 4 737 333375 1662303 1663040 14680064.000 0.113285609654 1
