# n events sort_cmp sweep total reference_2nlog2_2n ratio peak valid
128 256 1758 256 2014 2048.000 0.983398438 128 1
256 512 4033 512 4545 4608.000 0.986328125 256 1
512 1024 9069 1024 10093 10240.000 0.985644531 512 1
1024 2048 20194 2048 22242 22528.000 0.987304688 1024 1
2048 4096 44494 4096 48590 49152.000 0.988566081 2048 1
4096 8192 97310 8192 105502 106496.000 0.990666316 4096 1
8192 16384 210861 16384 227245 229376.000 0.990709577 8192 1
16384 32768 454534 32768 487302 491520.000 0.991418457 16384 1
32768 65536 974569 65536 1040105 1048576.000 0.991921425 32768 1
65536 131072 2079850 131072 2210922 2228224.000 0.992235072 65536 1
