# n sort_cmp scan total reference_nlog2n ratio merged_count valid
128 735 127 862 896.000 0.962053571 2 1
256 1744 255 1999 2048.000 0.976074219 2 1
512 3969 511 4480 4608.000 0.972222222 2 1
1024 8962 1023 9985 10240.000 0.975097656 2 1
2048 19955 2047 22002 22528.000 0.976651278 2 1
4096 43924 4095 48019 49152.000 0.976949056 2 1
8192 96202 8191 104393 106496.000 0.980252779 2 1
16384 208786 16383 225169 229376.000 0.981658936 2 1
32768 450330 32767 483097 491520.000 0.982863363 2 1
65536 966151 65535 1031686 1048576.000 0.983892441 2 1
