# n endpoints sort_cmp sweep_work total reference_2nlog2_2n ratio peak valid
128 256 1750 293 2043 2048.000 0.997558594 99 1
256 512 4012 573 4585 4608.000 0.995008681 167 1
512 1024 9034 1133 10167 10240.000 0.992871094 311 1
1024 2048 20065 2253 22318 22528.000 0.990678267 568 1
2048 4096 44211 4493 48704 49152.000 0.990885417 1080 1
4096 8192 96553 8973 105526 106496.000 0.990891677 2104 1
8192 16384 209514 17933 227447 229376.000 0.991590227 4152 1
16384 32768 451563 35853 487416 491520.000 0.991650391 8248 1
32768 65536 968893 71693 1040586 1048576.000 0.992380142 16440 1
65536 131072 2068586 143369 2211955 2228224.000 0.992698669 32824 1
