# n selections comparisons array_writes partitions dominant_operations reference_40n operations_per_n valid
128 2 2021 2403 23 4424 5120 34.562500 1
256 2 3909 4741 30 8650 10240 33.789062 1
512 2 8722 10526 51 19248 20480 37.593750 1
1024 2 13408 16359 52 29767 40960 29.069336 1
2048 2 37149 45258 126 82407 81920 40.237793 1
4096 2 71686 86989 161 158675 163840 38.739014 1
8192 2 118148 143753 200 261901 327680 31.970337 1
16384 2 238796 291612 293 530408 655360 32.373535 1
32768 2 564951 680802 454 1245753 1310720 38.017365 1
65536 2 952311 1158259 611 2110570 2621440 32.204742 1
131072 2 1796656 2182869 720 3979525 5242880 30.361366 1
