# n trials average_comparisons comparisons_per_n average_partitions max_depth linear_reference valid
128 5 902.400 7.050000000 10.200 4 1280.000 1
256 5 1904.600 7.439843750 13.400 4 2560.000 1
512 5 4407.400 8.608203125 27.600 4 5120.000 1
1024 5 9119.200 8.905468750 40.200 5 10240.000 1
2048 5 19126.000 9.338867188 68.200 5 20480.000 1
4096 5 38282.400 9.346289063 95.600 6 40960.000 1
8192 5 79178.200 9.665307617 162.800 6 81920.000 1
16384 5 160894.400 9.820214844 243.800 7 163840.000 1
32768 5 325418.800 9.930993652 393.000 7 327680.000 1
65536 5 650545.400 9.926535034 608.000 7 655360.000 1
131072 5 1317304.600 10.050236511 968.000 8 1310720.000 1
