# n avg_comparisons avg_swaps avg_partitions n_log2_n comparison_ratio max_stack valid_sorted_fingerprint_stack_qsort_oracle
128 1413.800 579.800 83.400 896.000 1.577901786 4 1
256 3473.000 1519.400 168.200 2048.000 1.695800781 6 1
512 7796.600 3408.600 326.200 4608.000 1.691970486 6 1
1024 17549.600 8117.800 626.400 10240.000 1.713828125 7 1
2048 39646.600 18323.400 1232.400 22528.000 1.759881037 8 1
4096 84859.200 40029.800 2405.800 49152.000 1.726464844 8 1
8192 191375.000 89003.000 4836.600 106496.000 1.797015850 9 1
16384 391835.600 186459.200 9582.000 229376.000 1.708267648 9 1
32768 883059.600 418738.600 19169.200 491520.000 1.796589355 10 1
65536 1849615.400 883877.600 38234.200 1048576.000 1.763930702 10 1
131072 4027492.400 1915171.400 76533.600 2228224.000 1.807489911 12 1
262144 8359165.400 3950663.600 153070.800 4718592.000 1.771538077 12 1
