# n build_cmp extraction_cmp total_cmp swaps nlog2n ratio exact_valid
128 229 1165 1394 787 896.000 1.555803571 1
256 469 2861 3330 1842 2048.000 1.625976562 1
512 944 6664 7608 4133 4608.000 1.651041667 1
1024 1923 15423 17346 9330 10240.000 1.693945312 1
2048 3820 34898 38718 20745 22528.000 1.718661222 1
4096 7729 77926 85655 45545 49152.000 1.742655436 1
8192 15320 172242 187562 99062 106496.000 1.761211689 1
16384 30853 377354 408207 214795 229376.000 1.779641288 1
32768 61427 820282 881709 462277 491520.000 1.793841553 1
65536 123179 1771370 1894549 989849 1048576.000 1.806782722 1
131072 246527 3804612 4051139 2110628 2228224.000 1.818102220 1
